"Name","Link"
"Dr. Roxanne 'Rocky...","https://www.animecharactersdatabase.com/characters.php?id=87512"
"Aya Sagane","https://www.animecharactersdatabase.com/characters.php?id=22348"
"Carlisle McDougall","https://www.animecharactersdatabase.com/characters.php?id=22667"
"Tomoe Nagisa","https://www.animecharactersdatabase.com/characters.php?id=22847"
"Ingrid Bernstein","https://www.animecharactersdatabase.com/characters.php?id=23182"
"Rhino","https://www.animecharactersdatabase.com/characters.php?id=132199"
"SPHIA","https://www.animecharactersdatabase.com/characters.php?id=88451"
"Yuni Nanasawa","https://www.animecharactersdatabase.com/characters.php?id=26974"
"Yoshiko Kurahashi","https://www.animecharactersdatabase.com/characters.php?id=67170"
"Kaga","https://www.animecharactersdatabase.com/characters.php?id=89903"
"Admiral Hipper µ","https://www.animecharactersdatabase.com/characters.php?id=105892"
"Flora Kueishi","https://www.animecharactersdatabase.com/characters.php?id=27887"
"Yoriko Fujiwara","https://www.animecharactersdatabase.com/characters.php?id=90157"
"Blanche","https://www.animecharactersdatabase.com/characters.php?id=15675"
"Keiko Amamiya","https://www.animecharactersdatabase.com/characters.php?id=91991"
"Megumi","https://www.animecharactersdatabase.com/characters.php?id=92423"
"Shizune Hayami","https://www.animecharactersdatabase.com/characters.php?id=16365"
"Mao Hagiya","https://www.animecharactersdatabase.com/characters.php?id=17108"
"Veronica","https://www.animecharactersdatabase.com/characters.php?id=93333"
"Ixia Jun","https://www.animecharactersdatabase.com/characters.php?id=18267"
"Chiaru","https://www.animecharactersdatabase.com/characters.php?id=132091"
"Fiore","https://www.animecharactersdatabase.com/characters.php?id=94039"
"Rita","https://www.animecharactersdatabase.com/characters.php?id=94324"
"Doris Rurido","https://www.animecharactersdatabase.com/characters.php?id=17243"
"Puxian","https://www.animecharactersdatabase.com/characters.php?id=132272"
"Rei Shijo","https://www.animecharactersdatabase.com/characters.php?id=94687"
"Primera","https://www.animecharactersdatabase.com/characters.php?id=26327"
"Nemea","https://www.animecharactersdatabase.com/characters.php?id=94838"
"NiBA","https://www.animecharactersdatabase.com/characters.php?id=120402"
"Maki Takahana","https://www.animecharactersdatabase.com/characters.php?id=95736"
"Monami Suzuki","https://www.animecharactersdatabase.com/characters.php?id=21578"
"Adda the White","https://www.animecharactersdatabase.com/characters.php?id=96436"
"Maple","https://www.animecharactersdatabase.com/characters.php?id=111326"
"Tina","https://www.animecharactersdatabase.com/characters.php?id=97265"
"Marie Tennouji","https://www.animecharactersdatabase.com/characters.php?id=36570"
"Rubis","https://www.animecharactersdatabase.com/characters.php?id=30902"
"Rias Gremory","https://www.animecharactersdatabase.com/characters.php?id=36120"
"Marin Kitagawa","https://www.animecharactersdatabase.com/characters.php?id=115747"
"Nobara Kugisaki","https://www.animecharactersdatabase.com/characters.php?id=104843"
"Reina Kurashiki","https://www.animecharactersdatabase.com/characters.php?id=101389"
"Hayase Nagatoro","https://www.animecharactersdatabase.com/characters.php?id=100650"
"Katsuki Bakugo","https://www.animecharactersdatabase.com/characters.php?id=75965"
"Satoru Gojou","https://www.animecharactersdatabase.com/characters.php?id=104844"
"Megumi Fushiguro","https://www.animecharactersdatabase.com/characters.php?id=104839"
"Kusuo Saiki","https://www.animecharactersdatabase.com/characters.php?id=78371"
"Noriaki Kakyoin","https://www.animecharactersdatabase.com/characters.php?id=73601"
"Saya Kamiizumi","https://www.animecharactersdatabase.com/characters.php?id=98474"
"Aoi Ichijou","https://www.animecharactersdatabase.com/characters.php?id=98705"
"Akari Kounomine","https://www.animecharactersdatabase.com/characters.php?id=98883"
"Hanae Yamano","https://www.animecharactersdatabase.com/characters.php?id=42282"
"Setsuna Honjou","https://www.animecharactersdatabase.com/characters.php?id=57826"
"Mio Aoyama","https://www.animecharactersdatabase.com/characters.php?id=23484"
"Fubuki Kurokami","https://www.animecharactersdatabase.com/characters.php?id=109770"
"White Tiger","https://www.animecharactersdatabase.com/characters.php?id=118098"
"Minori Nonomiya","https://www.animecharactersdatabase.com/characters.php?id=101494"
"Airis","https://www.animecharactersdatabase.com/characters.php?id=104706"
"Scar Crow","https://www.animecharactersdatabase.com/characters.php?id=101808"
"Kanae Yukino","https://www.animecharactersdatabase.com/characters.php?id=100066"
"Asuka Totsukawa","https://www.animecharactersdatabase.com/characters.php?id=102861"
"Asumi Hirota","https://www.animecharactersdatabase.com/characters.php?id=24766"
"Haumea","https://www.animecharactersdatabase.com/characters.php?id=104285"
"Miho Mukai","https://www.animecharactersdatabase.com/characters.php?id=61883"
"Ae Winter","https://www.animecharactersdatabase.com/characters.php?id=129649"
"Claire Redfield","https://www.animecharactersdatabase.com/characters.php?id=103949"
"Hagoromo Gitsune","https://www.animecharactersdatabase.com/characters.php?id=26346"
"Farina","https://www.animecharactersdatabase.com/characters.php?id=26655"
"Paula","https://www.animecharactersdatabase.com/characters.php?id=105095"
"Kaoru Tanimura","https://www.animecharactersdatabase.com/characters.php?id=26815"
"Ariel & Berenice","https://www.animecharactersdatabase.com/characters.php?id=68007"
"Kaoru Niijima","https://www.animecharactersdatabase.com/characters.php?id=112039"
"Turducken","https://www.animecharactersdatabase.com/characters.php?id=115741"
"Yu Yakutsukuri","https://www.animecharactersdatabase.com/characters.php?id=37147"
"Nishino Flower","https://www.animecharactersdatabase.com/characters.php?id=108234"
"Tsukino Takara","https://www.animecharactersdatabase.com/characters.php?id=28044"
"Lumina","https://www.animecharactersdatabase.com/characters.php?id=104296"
"Sphinx","https://www.animecharactersdatabase.com/characters.php?id=106860"
"Ayaka","https://www.animecharactersdatabase.com/characters.php?id=29057"
"Okaa-san","https://www.animecharactersdatabase.com/characters.php?id=117750"
"Karin Hanamatsuri","https://www.animecharactersdatabase.com/characters.php?id=31384"
"Ichika","https://www.animecharactersdatabase.com/characters.php?id=131958"
"Fiona Elford","https://www.animecharactersdatabase.com/characters.php?id=107748"
"Taeko Kutsuki","https://www.animecharactersdatabase.com/characters.php?id=107092"
"Kanna Tsukishiro","https://www.animecharactersdatabase.com/characters.php?id=31580"
"Kunie Senou","https://www.animecharactersdatabase.com/characters.php?id=30700"
"Riko","https://www.animecharactersdatabase.com/characters.php?id=108765"
"Arisu Komatsugawa","https://www.animecharactersdatabase.com/characters.php?id=31356"
"Masaki Sato","https://www.animecharactersdatabase.com/characters.php?id=31529"
"Yori","https://www.animecharactersdatabase.com/characters.php?id=109895"
"Shizuka Mitamura","https://www.animecharactersdatabase.com/characters.php?id=32144"
"Neica","https://www.animecharactersdatabase.com/characters.php?id=110206"
"Carbuncle","https://www.animecharactersdatabase.com/characters.php?id=32410"
"Fiolina Germi","https://www.animecharactersdatabase.com/characters.php?id=111668"
"Jiang Shang","https://www.animecharactersdatabase.com/characters.php?id=64135"
"Mizuki Sangenshoku","https://www.animecharactersdatabase.com/characters.php?id=112535"
"Ryueli","https://www.animecharactersdatabase.com/characters.php?id=16150"
"Frederica","https://www.animecharactersdatabase.com/characters.php?id=39791"
"Rias Gremory","https://www.animecharactersdatabase.com/characters.php?id=36120"
"Marin Kitagawa","https://www.animecharactersdatabase.com/characters.php?id=115747"
"Nobara Kugisaki","https://www.animecharactersdatabase.com/characters.php?id=104843"
"Reina Kurashiki","https://www.animecharactersdatabase.com/characters.php?id=101389"
"Hayase Nagatoro","https://www.animecharactersdatabase.com/characters.php?id=100650"
"Katsuki Bakugo","https://www.animecharactersdatabase.com/characters.php?id=75965"
"Satoru Gojou","https://www.animecharactersdatabase.com/characters.php?id=104844"
"Megumi Fushiguro","https://www.animecharactersdatabase.com/characters.php?id=104839"
"Kusuo Saiki","https://www.animecharactersdatabase.com/characters.php?id=78371"
"Noriaki Kakyoin","https://www.animecharactersdatabase.com/characters.php?id=73601"
"Eugeal","https://www.animecharactersdatabase.com/characters.php?id=12331"
"Miku","https://www.animecharactersdatabase.com/characters.php?id=114659"
"Satsuki Takizawa","https://www.animecharactersdatabase.com/characters.php?id=64993"
"Fatima Guillén","https://www.animecharactersdatabase.com/characters.php?id=116953"
"Taiko Namino","https://www.animecharactersdatabase.com/characters.php?id=117381"
"Yeonhee","https://www.animecharactersdatabase.com/characters.php?id=119016"
"Lara","https://www.animecharactersdatabase.com/characters.php?id=42442"
"Kinka","https://www.animecharactersdatabase.com/characters.php?id=118041"
"Ritsu Sohma","https://www.animecharactersdatabase.com/characters.php?id=16283"
"Misato Kaneko","https://www.animecharactersdatabase.com/characters.php?id=43233"
"Juno","https://www.animecharactersdatabase.com/characters.php?id=118718"
"Kikue Sakuragawa","https://www.animecharactersdatabase.com/characters.php?id=43916"
"Sylphy","https://www.animecharactersdatabase.com/characters.php?id=131169"
"Satsuki Hatsukari","https://www.animecharactersdatabase.com/characters.php?id=67397"
"Mosquito","https://www.animecharactersdatabase.com/characters.php?id=120311"
"Pyra","https://www.animecharactersdatabase.com/characters.php?id=125218"
"Selena","https://www.animecharactersdatabase.com/characters.php?id=129538"
"Kell","https://www.animecharactersdatabase.com/characters.php?id=121061"
"Mayu Kudou","https://www.animecharactersdatabase.com/characters.php?id=60536"
"Fuyuka Kittaka","https://www.animecharactersdatabase.com/characters.php?id=45301"
"Kyouko Morooka","https://www.animecharactersdatabase.com/characters.php?id=46209"
"Shano","https://www.animecharactersdatabase.com/characters.php?id=122815"
"Lady X Substance","https://www.animecharactersdatabase.com/characters.php?id=46549"
"Tooko Sokabe","https://www.animecharactersdatabase.com/characters.php?id=47238"
"Yoriko Inugami","https://www.animecharactersdatabase.com/characters.php?id=48104"
"Shuuji Goshogawara","https://www.animecharactersdatabase.com/characters.php?id=69047"
"Fennel","https://www.animecharactersdatabase.com/characters.php?id=124641"
"Demerara Orendain","https://www.animecharactersdatabase.com/characters.php?id=50085"
"Aura","https://www.animecharactersdatabase.com/characters.php?id=125804"
"Hasumi Ooba","https://www.animecharactersdatabase.com/characters.php?id=50884"
"Akihabara","https://www.animecharactersdatabase.com/characters.php?id=126234"
"Kaori Onodera","https://www.animecharactersdatabase.com/characters.php?id=51103"
"Saint Milae","https://www.animecharactersdatabase.com/characters.php?id=126354"
"Billy Jo","https://www.animecharactersdatabase.com/characters.php?id=126784"
"Nanami Hinoki","https://www.animecharactersdatabase.com/characters.php?id=51983"
"Aoi Misumi","https://www.animecharactersdatabase.com/characters.php?id=127458"
"Haruna Mita","https://www.animecharactersdatabase.com/characters.php?id=52624"
"Erika","https://www.animecharactersdatabase.com/characters.php?id=132482"
"Adrianne","https://www.animecharactersdatabase.com/characters.php?id=129002"
"Ritsuki Kuwashima","https://www.animecharactersdatabase.com/characters.php?id=54100"
"Usako Kurashiki","https://www.animecharactersdatabase.com/characters.php?id=129772"
"Kotomi Touma","https://www.animecharactersdatabase.com/characters.php?id=259"
"Goryoukaku","https://www.animecharactersdatabase.com/characters.php?id=130736"
"Dorothea","https://www.animecharactersdatabase.com/characters.php?id=122623"
"Yun Sakura","https://www.animecharactersdatabase.com/characters.php?id=2802"
"Akane Akatsuki ","https://www.animecharactersdatabase.com/characters.php?id=55194"
"Kururu","https://www.animecharactersdatabase.com/characters.php?id=130956"
"Miki Kaga","https://www.animecharactersdatabase.com/characters.php?id=55848"
"Yuu Tachibana","https://www.animecharactersdatabase.com/characters.php?id=56359"
"Mitsu Schwarz Katt...","https://www.animecharactersdatabase.com/characters.php?id=131574"
"Rias Gremory","https://www.animecharactersdatabase.com/characters.php?id=36120"
"Marin Kitagawa","https://www.animecharactersdatabase.com/characters.php?id=115747"
"Nobara Kugisaki","https://www.animecharactersdatabase.com/characters.php?id=104843"
"Reina Kurashiki","https://www.animecharactersdatabase.com/characters.php?id=101389"
"Hayase Nagatoro","https://www.animecharactersdatabase.com/characters.php?id=100650"
"Katsuki Bakugo","https://www.animecharactersdatabase.com/characters.php?id=75965"
"Satoru Gojou","https://www.animecharactersdatabase.com/characters.php?id=104844"
"Megumi Fushiguro","https://www.animecharactersdatabase.com/characters.php?id=104839"
"Kusuo Saiki","https://www.animecharactersdatabase.com/characters.php?id=78371"
"Noriaki Kakyoin","https://www.animecharactersdatabase.com/characters.php?id=73601"
"Kagura Takeda ","https://www.animecharactersdatabase.com/characters.php?id=1311"
"Miu Sasakura","https://www.animecharactersdatabase.com/characters.php?id=132428"
"Nagiho Takadou","https://www.animecharactersdatabase.com/characters.php?id=1557"
"Michelle Katejinahon","https://www.animecharactersdatabase.com/characters.php?id=1787"
"Orochi","https://www.animecharactersdatabase.com/characters.php?id=50055"
"Akira Naruse","https://www.animecharactersdatabase.com/characters.php?id=2253"
"Patty Crew","https://www.animecharactersdatabase.com/characters.php?id=58365"
"Hisana Kuchiki ","https://www.animecharactersdatabase.com/characters.php?id=51129"
"Mira","https://www.animecharactersdatabase.com/characters.php?id=2496"
"Rina Uchida","https://www.animecharactersdatabase.com/characters.php?id=72712"
"Kurea / Clair","https://www.animecharactersdatabase.com/characters.php?id=10770"
"Yuchiya","https://www.animecharactersdatabase.com/characters.php?id=3371"
"Sofia","https://www.animecharactersdatabase.com/characters.php?id=62055"
"Hinata Hanamori","https://www.animecharactersdatabase.com/characters.php?id=3836"
"Yukiha Sasamoto","https://www.animecharactersdatabase.com/characters.php?id=69299"
"Aoba Ichinose","https://www.animecharactersdatabase.com/characters.php?id=4317"
"Olden","https://www.animecharactersdatabase.com/characters.php?id=64090"
"Rei","https://www.animecharactersdatabase.com/characters.php?id=4800"
"Touri Sawagoe","https://www.animecharactersdatabase.com/characters.php?id=5054"
"Muscular Girl","https://www.animecharactersdatabase.com/characters.php?id=67801"
"Shi","https://www.animecharactersdatabase.com/characters.php?id=66810"
"Silje Eng","https://www.animecharactersdatabase.com/characters.php?id=5754"
"Sammy Stephens","https://www.animecharactersdatabase.com/characters.php?id=6144"
"Rinne","https://www.animecharactersdatabase.com/characters.php?id=6367"
"Natsu Takasaki","https://www.animecharactersdatabase.com/characters.php?id=66123"
"Yuka Yamamuro","https://www.animecharactersdatabase.com/characters.php?id=6826"
"Takami Niwa","https://www.animecharactersdatabase.com/characters.php?id=7061"
"Miho Konno","https://www.animecharactersdatabase.com/characters.php?id=7313"
"Sub-Commander Kozue","https://www.animecharactersdatabase.com/characters.php?id=67917"
"Keiko Maezono","https://www.animecharactersdatabase.com/characters.php?id=7552"
